Code,SciName,
70,Tachybaptus ruficollis,
90,Podiceps cristatus,
1110,Bubulcus ibis,
1190,Egretta garzetta,
1220,Ardea cinerea,
1340,Ciconia ciconia,
1520,Cygnus olor,
1730,Tadorna tadorna,
1860,Anas platyrhynchos,
2380,Milvus migrans,
2600,Circus aeruginosus,
2690,Accipiter nisus,
2870,Buteo buteo,
3040,Falco tinnunculus,
3580,Alectoris rufa,
3670,Perdix perdix,
3940,Phasianus colchicus,
4240,Gallinula chloropus,
4290,Fulica atra,
4420,Tetrax tetrax,
4590,Burhinus oedicnemus,
4930,Vanellus vanellus,
5410,Numenius arquata,
5460,Tringa totanus,
5560,Actitis hypoleucos,
5820,Larus ridibundus,
6680,Columba oenas,
6700,Columba palumbus,
6840,Streptopelia decaocto,
6870,Streptopelia turtur,
7160,Clamator glandarius,
7240,Cuculus canorus,
7950,Apus apus,
8310,Alcedo atthis,
8400,Merops apiaster,
8460,Upupa epops,
8480,Jynx torquilla,
8560,Picus viridis,
8630,Dryocopus martius,
8760,Dendrocopos major,
8830,Dendrocopos medius,
8870,Dendrocopos minor,
9720,Galerida cristata,
9740,Lullula arborea,
9760,Alauda arvensis,
9910,Hirundo rupestris,
9920,Hirundo rustica,
10010,Delichon urbica,
10050,Anthus campestris,
10090,Anthus trivialis,
10110,Anthus pratensis,
10170,Motacilla flava,
10190,Motacilla cinerea,
10200,Motacilla alba,
10660,Troglodytes troglodytes,
10840,Prunella modularis,
10990,Erithacus rubecula,
11040,Luscinia megarhynchos,
11210,Phoenicurus ochruros,
11220,Phoenicurus phoenicurus,
11370,Saxicola rubetra,
11390,Saxicola torquata,
11460,Oenanthe oenanthe,
11860,Turdus torquatus,
11870,Turdus merula,
11980,Turdus pilaris,
12000,Turdus philomelos,
12020,Turdus viscivorus,
12200,Cettia cetti,
12260,Cisticola juncidis,
12360,Locustella naevia,
12430,Acrocephalus schoenobaenus,
12500,Acrocephalus palustris,
12510,Acrocephalus scirpaceus,
12530,Acrocephalus arundinaceus,
12600,Hippolais polyglotta,
12620,Sylvia undata,
12650,Sylvia cantillans,
12670,Sylvia melanocephala,
12720,Sylvia hortensis,
12740,Sylvia curruca,
12750,Sylvia communis,
12760,Sylvia borin,
12770,Sylvia atricapilla,
13070,Phylloscopus bonelli,
13080,Phylloscopus sibilatrix,
13110,Phylloscopus collybita,
13120,Phylloscopus trochilus,
13140,Regulus regulus,
13150,Regulus ignicapilla,
13350,Muscicapa striata,
13490,Ficedula hypoleuca,
14370,Aegithalos caudatus,
14400,Parus palustris,
14420,Parus montanus,
14540,Parus cristatus,
14610,Parus ater,
14620,Parus caeruleus,
14640,Parus major,
14790,Sitta europaea,
14860,Certhia familiaris,
14870,Certhia brachydactyla,
15080,Oriolus oriolus,
15150,Lanius collurio,
15230,Lanius senator,
15390,Garrulus glandarius,
15490,Pica pica,
15570,Nucifraga caryocatactes,
15600,Corvus monedula,
15630,Corvus frugilegus,
15670,Corvus corone+cornix,both data together
15720,Corvus corax,
15820,Sturnus vulgaris,
15910,Passer domesticus,
15980,Passer montanus,
16040,Petronia petronia,
16360,Fringilla coelebs,
16400,Serinus serinus,
16440,Serinus citrinella,
16490,Carduelis chloris,
16530,Carduelis carduelis,
16600,Carduelis cannabina,
17100,Pyrrhula pyrrhula,
17170,Coccothraustes coccothraustes,
18570,Emberiza citrinella,
18580,Emberiza cirlus,
18600,Emberiza cia,
18660,Emberiza hortulana,
18770,Emberiza schoeniclus,
18820,Miliaria calandra,
