fr,eng
id_carre_annee,id_plot_year
id_carre,id_plot
annee,year
qualite_inventaire_stoc,BBS_sample_quality
commune,municipality
departement,district
operateur,IT_name
email_operateur,IT_email
habitat_principal,habitat_primary
habitat_secondaire,habitat_secondary
temps_depuis_derniere_description_habitat ,time_since_last_habitat_description 
foret_p,forest_p
agricole_p,farmland_p
urbain_p,urban_p
foret_ps,forest_ps
agricole_ps,farmland_ps
urbain_ps,urban_ps
carre_nb_pts_foret_p,plot_nb_pts_forest_p
carre_nb_pts_ouvert_p,plot_nb_pts_open_p
carre_nb_pts_agricole_p,plot_nb_pts_farmland_p
carre_nb_pts_urbain_p,plot_nb_pts_urban_p
carre_nb_pts_foret_ps,plot_nb_pts_forest_ps
carre_nb_pts_ouvert_ps,plot_nb_pts_open_ps
carre_nb_pts_agricole_ps,plot_nb_pts_farmland_ps
carre_nb_pts_urbain_ps,plot_nb_pts_urban_ps
etude,study
nom_scientifique,scientific_name
nom_francais,french_name
nom_anglais,english_name
code_espece_euring,euring_species_code
code_espece_taxref,taxref_species_code
espece,species
abondance,abundance
abondance_brut,raw_abundance
