lower;txt;abbrev
TRUE;é;e
TRUE;è;e
TRUE;ê;e
TRUE;ë;e
TRUE;ô;o
TRUE;à;a
FALSE;DEVIATION;DEV
FALSE;RESERVE;RES
FALSE;BIOLOGIQUE;BIO
FALSE;INTERGRALE;INT
FALSE;EXPLOITATION;EXP
FALSE;EXPLOIT;EXP
FALSE;PASSAGE;P
FALSE;NATURELLE;NAT
FALSE;TECHNOLOGIQUE;TECHNO
FALSE;SAINTE;ST
FALSE;SAINT;ST
FALSE;EME;
FALSE;ER;
FALSE;UNIQUE;UNI
FALSE;PLAINE;PL
FALSE;MONTAGNE;MNT
FALSE;COLLINE;COL
FALSE;PROJET;PR
FALSE;EOLIEN;EOL
FALSE;EOLIENNE;EOL
FALSE;EOLIENNES;EOL
FALSE;PETIT;PT
FALSE;PETITE;PT
FALSE;GRAND;GD
FALSE;GRANDE;GD
