old;new
id;id_raw_observation
code_inventaire;id_raw_inventaire
etude;etude
site;site
insee;insee
commune;commune
num_carre_eps;id_carre
num_point_eps;num_point
date;date
heure;heure
heure_fin;heure_fin
observateur;observateur
altitude;altitude
taxon_classe;classe
taxon_code_euring;espece
nombre;abondance
distance_de_contact;distance_contact
longitude;longitude_wgs84
latitude;latitude_wgs84
eps_nuage;nuage
eps_pluie;pluie
eps_vent;vent
eps_neige;visibilite
eps_visibilite;neige
eps_p_milieu;p_milieu
eps_p_type;p_type
eps_p_cat1;p_cat1
eps_p_cat2;p_cat2
eps_p_ss_cat1;p_sous_cat1
eps_p_ss_cat2;p_sous_cat2
eps_s_milieu;s_milieu
eps_s_type;s_type
eps_s_cat1;s_cat1
eps_s_cat2;s_cat2
eps_s_ss_cat1;s_sous_cat1
eps_s_ss_cat2;s_sous_cat2
